"player","playerShort","birthday","height","weight","position","club","leagueCountry","refNum","goals","victories","defeats","yellowCards","games","redCards","rater1","rater2"
"John Utaka","john-utaka","08.01.1982",179,82,"Right Winger","Montpellier HSC","France",2,0,0,1,1,1,0,0.75,0.75
"Levent Aycicek","levent-aycicek","12.02.1994",169,67,"Attacking Midfielder","Werder Bremen","Germany",9,0,1,0,0,1,0,0.25,0.25
"Dorge Kouemaha","dorge-kouemaha","28.06.1983",188,86,"Center Forward","Eintracht Frankfurt","Germany",18,0,0,0,0,1,0,0.75,1
"Philipp Wollscheid","philipp-wollscheid","06.03.1989",194,88,"Center Back","Bayer Leverkusen","Germany",21,0,0,1,0,1,0,0,0
"Brad Guzan","brad-guzan","09.09.1984",193,95,"Goalkeeper","Aston Villa","England",25,0,0,0,0,1,0,0,0
"Maurice Edu","maurice-edu","18.04.1986",183,85,"Defensive Midfielder","Stoke City","England",25,0,0,0,0,2,1,0.75,1
"Calatayud","calatayud","21.12.1979",191,88,"Goalkeeper","RCD Mallorca","Spain",30,0,1,0,0,1,0,0,0
"Ammar Jemal","ammar-jemal","20.04.1987",186,81,"Left Fullback","AC Ajaccio","France",35,0,0,1,0,2,0,0.5,0.75
"Bacary Sagna","bacary-sagna","14.02.1983",176,72,"Right Fullback","Arsenal FC","England",35,0,0,0,1,1,0,1,1
"Franck Ribery","franck-ribery","07.04.1983",170,72,"Left Midfielder","Bayern Munchen","Germany",35,0,0,0,0,1,0,0.25,0.25
"Yoann Gourcuff","yoann-gourcuff","11.07.1986",185,79,"Attacking Midfielder","Olympique Lyon","France",35,0,0,0,0,1,0,0.25,0
"Damien Duff","damien-duff","02.03.1979",178,70,"Left Winger","Fulham FC","England",40,0,1,0,0,1,0,0,0
"John O'Shea","john-oshea","30.04.1981",190,75,"Center Back","Sunderland AFC","England",40,0,1,0,0,1,0,0,0.25
"Adrian Mutu","adrian-mutu","08.01.1979",180,74,"Left Winger","AC Ajaccio","France",41,1,1,0,0,1,0,0.25,0.25
"Chris Gunter","chris-gunter","21.07.1989",180,71,"Right Fullback","Reading FC","England",45,0,1,0,0,1,0,0.25,0
"Per Skjelbred","per-skjelbred","16.06.1987",175,74,"Attacking Midfielder","Hamburger SV","Germany",45,0,1,0,0,1,0,0,0
"Sebastian Larsson","sebastian-larsson","06.06.1985",178,70,"Right Midfielder","Sunderland AFC","England",45,0,1,0,0,1,0,0,0
"Chu-Young Park","chu-young-park","10.07.1985",183,70,"Center Forward","Celta Vigo","Spain",50,1,1,0,0,1,0,0.25,0.5
"Du-Ri Cha","du-ri-cha","25.07.1980",181,81,"Right Fullback","Fortuna Dusseldorf","Germany",50,0,1,0,1,1,0,0.5,0.25
"Thomas Kahlenberg","thomas-kahlenberg","20.03.1983",183,72,"Attacking Midfielder","VfL Wolfsburg","Germany",51,0,1,0,1,1,0,0,0
"Adrian","adrian_7","21.05.1983",188,82,"Goalkeeper","SD Compostela","Spain",57,0,0,0,0,1,0,0.25,0.25
"Holger Badstuber","holger-badstuber","13.03.1989",190,83,"Center Back","Bayern Munchen","Germany",60,0,0,1,0,1,0,0,0
"Lewis Holtby","lewis-holtby","18.09.1990",176,72,"Attacking Midfielder","FC Schalke 04","Germany",60,0,0,1,0,1,0,0,0
"Mats Hummels","mats-hummels","16.12.1988",192,90,"Center Back","Borussia Dortmund","Germany",60,0,0,1,0,1,0,0.25,0.25
"Nils Petersen","nils-petersen","06.12.1988",188,80,"Center Forward","Werder Bremen","Germany",60,0,0,1,0,1,0,0.25,0.25
"Philipp Bargfrede","philipp-bargfrede","03.03.1989",174,71,"Defensive Midfielder","Werder Bremen","Germany",60,0,0,1,0,1,0,0.25,0.25
"Nemanja Vidic","nemanja-vidic","21.10.1981",188,82,"Center Back","Manchester United","England",63,0,1,0,1,1,0,0,0
"Aaron Ramsey","aaron-ramsey","26.12.1990",178,76,"Center Midfielder","Arsenal FC","England",66,0,2,0,0,2,0,0,0
"Adam Johnson","adam-johnson","14.07.1987",175,62,"Left Midfielder","Sunderland AFC","England",66,0,1,0,0,1,0,0,0
"Adil Rami","adil-rami","27.12.1985",190,88,"Center Back","Valencia CF","Spain",66,0,1,1,1,2,0,0,0.25
"Adrian Mutu","adrian-mutu","08.01.1979",180,74,"Left Winger","AC Ajaccio","France",66,0,0,1,0,1,0,0.25,0.25
"Alain Traore","alain-traore_2","31.12.1988",176,66,"Left Midfielder","FC Lorient","France",66,0,0,1,0,1,0,1,1
"Alaixys Romao","alaixys-romao","18.01.1984",180,74,"Defensive Midfielder","FC Lorient","France",66,0,0,1,0,1,0,0.5,0.5
"Alejandro Dominguez","alejandro-dominguez_2","10.06.1981",175,73,"Right Winger","Rayo Vallecano","Spain",66,1,0,1,0,1,0,0.25,0.25
"Anatoliy Tymoshchuk","anatoliy-tymoshchuk","30.03.1979",181,75,"Defensive Midfielder","Bayern Munchen","Germany",66,0,0,2,0,3,0,0.25,0.25
"Anderson","anderson_7","13.04.1988",176,69,"Center Midfielder","Manchester United","England",66,0,1,0,0,1,0,0.75,0.75
"Andriy Voronin","andriy-voronin","21.07.1979",174,81,"Center Forward","Fortuna Dusseldorf","Germany",66,0,0,0,0,2,0,0,0
"Arnold Mvuemba","arnold-mvuemba","28.01.1985",172,67,"Defensive Midfielder","Olympique Lyon","France",66,0,0,1,0,1,0,0.75,0.75
"Arthur Boka","arthur-boka","02.04.1983",166,67,"Left Fullback","VfB Stuttgart","Germany",66,0,1,1,1,2,0,1,1
"Ashley Cole","ashley-cole","20.12.1980",170,67,"Left Fullback","Chelsea FC","England",66,0,3,0,1,3,0,0.5,0.5
"Aurelien Chedjou","aurelien-chedjou","20.06.1985",184,75,"Center Back","Lille OSC","France",66,0,1,0,0,1,0,0.75,0.75
"Bacary Sagna","bacary-sagna","14.02.1983",176,72,"Right Fullback","Arsenal FC","England",66,0,1,1,1,3,0,1,1
"Benoit Pedretti","benoit-pedretti","12.11.1980",177,69,"Defensive Midfielder","Lille OSC","France",66,0,2,1,2,4,0,0.25,0.25
"Blaise Matuidi","blaise-matuidi","09.04.1987",175,70,"Defensive Midfielder","Paris Saint-Germain","France",66,0,0,1,0,3,0,0.75,0.75
"Brad Guzan","brad-guzan","09.09.1984",193,95,"Goalkeeper","Aston Villa","England",66,0,0,0,1,1,0,0,0
"Brett Holman","brett-holman","27.03.1984",176,75,"Attacking Midfielder","Aston Villa","England",66,0,0,1,0,1,0,0,0
"Brou Angoua","brou-angoua","28.11.1986",178,69,"Center Back","Valenciennes FC","France",66,0,1,0,0,1,0,1,1
"Bryan Ruiz","bryan-ruiz","18.08.1985",186,70,"Right Winger","Fulham FC","England",66,0,2,0,0,2,0,0,0.25
"Busquets","busquets_2","16.07.1988",189,73,"Defensive Midfielder","FC Barcelona","Spain",66,0,1,0,0,1,0,0.25,0.25
"Camel Meriem","camel-meriem","18.10.1979",174,70,"Attacking Midfielder","OGC Nice","France",66,0,2,2,0,4,0,0.25,0.25
"Carlton Cole","carlton-cole","12.11.1983",190,88,"Center Forward","West Ham United","England",66,0,1,0,0,1,0,1,1
"Cedric Carrasso","cedric-carrasso","30.12.1981",192,87,"Goalkeeper","Girondins Bordeaux","France",66,0,0,3,0,3,0,0.25,0.25
"Cedric Kante","cedric-kante","06.07.1979",181,77,"Center Back","FC Sochaux","France",66,0,2,0,0,2,0,0.5,0.5
"Cesc Fabregas","cesc-fabregas","04.05.1987",179,75,"Center Midfielder","FC Barcelona","Spain",66,4,3,0,1,4,0,0.25,0.25
"Christian Benteke","christian-benteke","03.12.1990",190,83,"Center Forward","Aston Villa","England",66,0,1,2,0,3,0,0.75,0.75
"Christian Fuchs","christian-fuchs","07.04.1986",186,84,"Left Fullback","FC Schalke 04","Germany",66,0,0,1,0,1,0,0,0
"Chu-Young Park","chu-young-park","10.07.1985",183,70,"Center Forward","Celta Vigo","Spain",66,1,1,1,0,2,0,0.25,0.5
"Ciprian Marica","ciprian-marica","02.10.1985",185,80,"Right Winger","FC Schalke 04","Germany",66,0,0,2,0,2,0,0,0.25
"Clement Chantome","clement-chantome","11.09.1987",179,71,"Defensive Midfielder","Paris Saint-Germain","France",66,0,2,2,1,4,0,0.25,0.25
"Cristian Molinaro","cristian-molinaro","30.07.1983",178,72,"Left Fullback","VfB Stuttgart","Germany",66,0,0,1,0,1,0,0.25,0.25
"Damien Duff","damien-duff","02.03.1979",178,70,"Left Winger","Fulham FC","England",66,0,0,1,1,1,0,0,0
"Damien Perquis","damien-perquis","10.04.1984",184,78,"Center Back","Real Betis","Spain",66,0,0,1,1,3,0,0,0
"Daniel Congre","daniel-congre","05.04.1985",184,79,"Center Back","Montpellier HSC","France",66,0,1,1,0,3,0,0.25,0.5
"Daniel Van Buyten","daniel-van-buyten","07.02.1978",197,95,"Center Back","Bayern Munchen","Germany",66,0,0,1,0,1,1,0.25,0.25
"David Bellion","david-bellion","27.11.1982",181,72,"Center Forward","Girondins Bordeaux","France",66,0,1,3,0,5,0,0.5,0.5
"David Sauget","david-sauget","23.11.1979",175,69,"Left Fullback","FC Sochaux","France",66,0,1,0,0,1,0,0,0
"Dimitar Berbatov","dimitar-berbatov","30.01.1981",188,79,"Center Forward","Fulham FC","England",66,3,2,2,0,5,0,0.25,0.25
